
Epoch: [1 | 50] LR: 0.001000
epoch = 1, loss = 5.442826271057129, top5_accuracy = 6.25, top1_accuracy = 3.125
epoch = 2, loss = 5.499796628952026, top5_accuracy = 4.6875, top1_accuracy = 1.5625
epoch = 3, loss = 5.5385128657023115, top5_accuracy = 3.125, top1_accuracy = 1.0416666666666667
epoch = 4, loss = 5.530609607696533, top5_accuracy = 3.90625, top1_accuracy = 0.78125
epoch = 5, loss = 5.515366649627685, top5_accuracy = 4.375, top1_accuracy = 0.625
epoch = 6, loss = 5.498915354410808, top5_accuracy = 5.208333333333333, top1_accuracy = 0.5208333333333334
epoch = 7, loss = 5.4915973118373325, top5_accuracy = 5.357142857142857, top1_accuracy = 0.44642857142857145
epoch = 8, loss = 5.478035271167755, top5_accuracy = 5.078125, top1_accuracy = 0.390625
epoch = 9, loss = 5.452363226148817, top5_accuracy = 4.513888888888889, top1_accuracy = 0.3472222222222222
epoch = 10, loss = 5.411615085601807, top5_accuracy = 5.0, top1_accuracy = 0.625
epoch = 11, loss = 5.404660875147039, top5_accuracy = 5.113636363636363, top1_accuracy = 0.5681818181818182
epoch = 12, loss = 5.392883221308391, top5_accuracy = 5.208333333333333, top1_accuracy = 0.78125
epoch = 13, loss = 5.3870553236741285, top5_accuracy = 6.009615384615385, top1_accuracy = 1.4423076923076923
epoch = 14, loss = 5.384146962847028, top5_accuracy = 6.25, top1_accuracy = 1.5625
epoch = 15, loss = 5.378465938568115, top5_accuracy = 6.666666666666667, top1_accuracy = 1.875
epoch = 16, loss = 5.384332031011581, top5_accuracy = 6.8359375, top1_accuracy = 2.34375
epoch = 17, loss = 5.381070585811839, top5_accuracy = 6.985294117647059, top1_accuracy = 2.7573529411764706
epoch = 18, loss = 5.368275721867879, top5_accuracy = 7.291666666666667, top1_accuracy = 3.125
epoch = 19, loss = 5.349387796301591, top5_accuracy = 7.565789473684211, top1_accuracy = 3.4539473684210527
epoch = 20, loss = 5.345528197288513, top5_accuracy = 8.28125, top1_accuracy = 3.75
epoch = 21, loss = 5.345878828139532, top5_accuracy = 8.333333333333334, top1_accuracy = 4.017857142857143
epoch = 22, loss = 5.334237163717097, top5_accuracy = 8.522727272727273, top1_accuracy = 4.261363636363637
epoch = 23, loss = 5.318395573159923, top5_accuracy = 8.967391304347826, top1_accuracy = 4.619565217391305
epoch = 24, loss = 5.31109098593394, top5_accuracy = 8.984375, top1_accuracy = 4.817708333333333
epoch = 25, loss = 5.291839714050293, top5_accuracy = 9.625, top1_accuracy = 5.125
epoch = 26, loss = 5.275851634832529, top5_accuracy = 9.975961538461538, top1_accuracy = 5.408653846153846
epoch = 27, loss = 5.278383449271873, top5_accuracy = 10.069444444444445, top1_accuracy = 5.555555555555555
epoch = 28, loss = 5.27395110470908, top5_accuracy = 10.15625, top1_accuracy = 5.691964285714286
epoch = 29, loss = 5.269562392399229, top5_accuracy = 10.344827586206897, top1_accuracy = 5.818965517241379
epoch = 30, loss = 5.261974922815958, top5_accuracy = 10.520833333333334, top1_accuracy = 5.9375
epoch = 31, loss = 5.258082559031825, top5_accuracy = 10.483870967741936, top1_accuracy = 6.048387096774194
epoch = 32, loss = 5.251465275883675, top5_accuracy = 10.546875, top1_accuracy = 6.15234375
epoch = 33, loss = 5.253216078787139, top5_accuracy = 10.795454545454545, top1_accuracy = 6.25
epoch = 34, loss = 5.248414712793687, top5_accuracy = 11.029411764705882, top1_accuracy = 6.341911764705882
epoch = 35, loss = 5.23892045702253, top5_accuracy = 11.160714285714286, top1_accuracy = 6.428571428571429
epoch = 36, loss = 5.236005385716756, top5_accuracy = 11.197916666666666, top1_accuracy = 6.510416666666667
epoch = 37, loss = 5.232266967361038, top5_accuracy = 11.402027027027026, top1_accuracy = 6.672297297297297
epoch = 38, loss = 5.2256888213910555, top5_accuracy = 11.595394736842104, top1_accuracy = 6.743421052631579
epoch = 39, loss = 5.226391034248548, top5_accuracy = 11.538461538461538, top1_accuracy = 6.810897435897436
epoch = 40, loss = 5.224057912826538, top5_accuracy = 11.5625, top1_accuracy = 6.875
epoch = 41, loss = 5.21759514692353, top5_accuracy = 11.737804878048781, top1_accuracy = 7.012195121951219
epoch = 42, loss = 5.2124684538160055, top5_accuracy = 11.755952380952381, top1_accuracy = 7.068452380952381
epoch = 43, loss = 5.213886416235636, top5_accuracy = 11.700581395348838, top1_accuracy = 7.122093023255814
epoch = 44, loss = 5.210991729389537, top5_accuracy = 11.789772727272727, top1_accuracy = 7.173295454545454
epoch = 45, loss = 5.209233379364013, top5_accuracy = 11.875, top1_accuracy = 7.222222222222222
