Epoch: [2 | 50] LR: 0.001000
epoch = 1, loss = 0.977882981300354, top5_accuracy = 90.625, top1_accuracy = 71.875
epoch = 2, loss = 0.7622591257095337, top5_accuracy = 95.3125, top1_accuracy = 81.25
epoch = 3, loss = 0.7665254275004069, top5_accuracy = 94.79166666666667, top1_accuracy = 82.29166666666667
epoch = 4, loss = 0.8435761630535126, top5_accuracy = 94.53125, top1_accuracy = 81.25
epoch = 5, loss = 0.8732380986213684, top5_accuracy = 94.375, top1_accuracy = 79.375
epoch = 6, loss = 0.8971886535485586, top5_accuracy = 93.75, top1_accuracy = 77.60416666666667
epoch = 7, loss = 0.8469555292810712, top5_accuracy = 93.75, top1_accuracy = 78.57142857142857
epoch = 8, loss = 0.8540270924568176, top5_accuracy = 93.75, top1_accuracy = 78.90625
epoch = 9, loss = 0.8500955767101712, top5_accuracy = 94.09722222222223, top1_accuracy = 78.47222222222223
epoch = 10, loss = 0.857211035490036, top5_accuracy = 94.375, top1_accuracy = 78.75
epoch = 11, loss = 0.8658911206505515, top5_accuracy = 94.0340909090909, top1_accuracy = 78.97727272727273
epoch = 12, loss = 0.8521590679883957, top5_accuracy = 94.01041666666667, top1_accuracy = 78.90625
epoch = 13, loss = 0.8846020927795997, top5_accuracy = 93.50961538461539, top1_accuracy = 78.125
epoch = 14, loss = 0.88140150478908, top5_accuracy = 93.75, top1_accuracy = 78.34821428571429
epoch = 15, loss = 0.8831725120544434, top5_accuracy = 93.33333333333333, top1_accuracy = 78.54166666666667
epoch = 16, loss = 0.8618260696530342, top5_accuracy = 93.75, top1_accuracy = 79.296875
epoch = 17, loss = 0.8733048228656545, top5_accuracy = 93.75, top1_accuracy = 79.41176470588235
epoch = 18, loss = 0.8828946153322855, top5_accuracy = 93.75, top1_accuracy = 79.34027777777777
epoch = 19, loss = 0.8597851505405024, top5_accuracy = 94.07894736842105, top1_accuracy = 79.60526315789474
epoch = 20, loss = 0.8677148655056953, top5_accuracy = 94.0625, top1_accuracy = 79.6875
epoch = 21, loss = 0.8683693281241825, top5_accuracy = 94.19642857142857, top1_accuracy = 79.31547619047619
epoch = 22, loss = 0.8637169802730734, top5_accuracy = 94.31818181818181, top1_accuracy = 78.83522727272727
epoch = 23, loss = 0.8597253703552744, top5_accuracy = 94.42934782608695, top1_accuracy = 78.94021739130434
epoch = 24, loss = 0.8534318022429943, top5_accuracy = 94.53125, top1_accuracy = 79.16666666666667
epoch = 25, loss = 0.84600044131279, top5_accuracy = 94.625, top1_accuracy = 79.5
epoch = 26, loss = 0.8563439192680212, top5_accuracy = 94.47115384615384, top1_accuracy = 79.20673076923077
epoch = 27, loss = 0.8534610370794932, top5_accuracy = 94.44444444444444, top1_accuracy = 79.39814814814815
epoch = 28, loss = 0.8453954703041485, top5_accuracy = 94.64285714285714, top1_accuracy = 79.57589285714286
epoch = 29, loss = 0.8470086445068491, top5_accuracy = 94.61206896551724, top1_accuracy = 79.63362068965517
epoch = 30, loss = 0.8436403582493465, top5_accuracy = 94.79166666666667, top1_accuracy = 79.58333333333333
epoch = 31, loss = 0.8431015178080528, top5_accuracy = 94.85887096774194, top1_accuracy = 79.53629032258064
epoch = 32, loss = 0.8418540293350816, top5_accuracy = 94.82421875, top1_accuracy = 79.4921875
epoch = 33, loss = 0.8413976114807706, top5_accuracy = 94.79166666666667, top1_accuracy = 79.45075757575758
epoch = 34, loss = 0.838251688024577, top5_accuracy = 94.66911764705883, top1_accuracy = 79.41176470588235
epoch = 35, loss = 0.8377247801848821, top5_accuracy = 94.55357142857143, top1_accuracy = 79.55357142857143
epoch = 36, loss = 0.8454613809784254, top5_accuracy = 94.44444444444444, top1_accuracy = 79.42708333333333
epoch = 37, loss = 0.847182277892087, top5_accuracy = 94.34121621621621, top1_accuracy = 79.30743243243244
epoch = 38, loss = 0.8418945521116257, top5_accuracy = 94.40789473684211, top1_accuracy = 79.27631578947368
epoch = 39, loss = 0.8501523098884485, top5_accuracy = 94.23076923076923, top1_accuracy = 79.16666666666667
epoch = 40, loss = 0.8450010292232036, top5_accuracy = 94.296875, top1_accuracy = 79.375
epoch = 41, loss = 0.8529983082922493, top5_accuracy = 94.28353658536585, top1_accuracy = 79.26829268292683
epoch = 42, loss = 0.8576112155403409, top5_accuracy = 94.19642857142857, top1_accuracy = 79.24107142857143
epoch = 43, loss = 0.8551504424838132, top5_accuracy = 94.18604651162791, top1_accuracy = 79.28779069767442
epoch = 44, loss = 0.8502408042550087, top5_accuracy = 94.2471590909091, top1_accuracy = 79.4034090909091
epoch = 45, loss = 0.8476154837343428, top5_accuracy = 94.23611111111111, top1_accuracy = 79.51388888888889
epoch = 46, loss = 0.8475018940542055, top5_accuracy = 94.36141304347827, top1_accuracy = 79.41576086956522
epoch = 47, loss = 0.8440455711902456, top5_accuracy = 94.41489361702128, top1_accuracy = 79.45478723404256
epoch = 48, loss = 0.8376566885660092, top5_accuracy = 94.53125, top1_accuracy = 79.55729166666667
epoch = 49, loss = 0.8432670144402251, top5_accuracy = 94.38775510204081, top1_accuracy = 79.52806122448979
epoch = 50, loss = 0.8447341734170913, top5_accuracy = 94.25, top1_accuracy = 79.5625
epoch = 51, loss = 0.836456797286576, top5_accuracy = 94.36274509803921, top1_accuracy = 79.77941176470588
epoch = 52, loss = 0.8338659938711387, top5_accuracy = 94.35096153846153, top1_accuracy = 79.92788461538461
epoch = 53, loss = 0.8281192661456342, top5_accuracy = 94.39858490566037, top1_accuracy = 80.18867924528301
epoch = 54, loss = 0.830002252150465, top5_accuracy = 94.44444444444444, top1_accuracy = 80.0925925925926
epoch = 55, loss = 0.8351894394917921, top5_accuracy = 94.31818181818181, top1_accuracy = 79.82954545454545
epoch = 56, loss = 0.835134277918509, top5_accuracy = 94.30803571428571, top1_accuracy = 79.85491071428571
epoch = 57, loss = 0.8363394512419116, top5_accuracy = 94.29824561403508, top1_accuracy = 79.82456140350877
epoch = 58, loss = 0.8374878502097624, top5_accuracy = 94.34267241379311, top1_accuracy = 79.84913793103448
epoch = 59, loss = 0.8380200079942154, top5_accuracy = 94.33262711864407, top1_accuracy = 79.76694915254237
epoch = 60, loss = 0.8357878570755323, top5_accuracy = 94.42708333333333, top1_accuracy = 79.84375
epoch = 61, loss = 0.8289482505595098, top5_accuracy = 94.51844262295081, top1_accuracy = 80.07172131147541
epoch = 62, loss = 0.8295744426788823, top5_accuracy = 94.45564516129032, top1_accuracy = 79.9899193548387
epoch = 63, loss = 0.8320454245521909, top5_accuracy = 94.5436507936508, top1_accuracy = 79.76190476190476
epoch = 64, loss = 0.8291097935289145, top5_accuracy = 94.580078125, top1_accuracy = 79.8828125
epoch = 65, loss = 0.8322659125694862, top5_accuracy = 94.51923076923077, top1_accuracy = 79.8076923076923
